iter	RMSE
0	0.4388560842
1	0.4337470436
2	0.4277416819
3	0.4231926064
4	0.4181699955
5	0.4138996409
6	0.4100915125
7	0.4060598894
8	0.4028701398
9	0.3989638592
10	0.3949980675
11	0.3906476972
12	0.3860657299
13	0.3843493443
14	0.3804294823
15	0.3770804256
16	0.3738370251
17	0.3700789847
18	0.3673867199
19	0.3650105089
20	0.3630287341
21	0.3603202219
22	0.3583029056
23	0.3563947588
24	0.3543867109
25	0.3519045629
26	0.3495820421
27	0.3473378308
28	0.3456504245
29	0.343942128
30	0.3424387041
31	0.3402562302
32	0.338627292
33	0.3367173744
34	0.3347601215
35	0.333494663
36	0.3317537556
37	0.3292981858
38	0.3276271672
39	0.3254212307
40	0.3245450269
41	0.3229048189
42	0.3212770905
43	0.3195083386
44	0.3187756791
45	0.3177058727
46	0.3160173454
47	0.3141160533
48	0.3127386682
49	0.3115283069
50	0.3104331694
51	0.3099404302
52	0.3086978777
53	0.3070630223
54	0.3058405508
55	0.3044672719
56	0.3036505263
57	0.3030327012
58	0.3018226762
59	0.3010871403
60	0.299384256
61	0.2986605988
62	0.2978548001
63	0.2970721513
64	0.2959551588
65	0.2956203555
66	0.2941216139
67	0.2935274609
68	0.2923376386
69	0.2916664381
70	0.2910781934
71	0.2902932991
72	0.2894506097
73	0.289052696
74	0.2879058157
75	0.2867850045
76	0.2857754436
77	0.2850771621
78	0.2841256624
79	0.28235089
80	0.2814011648
81	0.2801216945
82	0.2792963456
83	0.2782004419
84	0.2771543424
85	0.2765499459
86	0.2757586255
87	0.2749926637
88	0.2737469777
89	0.2727834811
90	0.2718725567
91	0.2709601915
92	0.2702019807
93	0.2693253268
94	0.2682739823
95	0.2674297055
96	0.2670189326
97	0.2656495636
98	0.2647685379
99	0.2645349221
100	0.2642142147
101	0.2638318875
102	0.2630561175
103	0.2616133627
104	0.2611490631
105	0.2608664658
106	0.2603154892
107	0.2596582208
108	0.2592203808
109	0.2588399815
110	0.2581312977
111	0.2575060832
112	0.2569269697
113	0.2566481266
114	0.2554900344
115	0.2549960682
116	0.2542106335
117	0.2537451881
118	0.2529187982
119	0.2515806289
120	0.2509080462
121	0.2503172517
122	0.2494846004
123	0.2488981697
124	0.2479365381
125	0.2474772671
126	0.2470194139
127	0.2466031864
128	0.2460479379
129	0.2452609482
130	0.2442080351
131	0.24376836
132	0.2431362569
133	0.2424469132
134	0.2417681746
135	0.2408261466
136	0.2402942153
137	0.239683976
138	0.2387803894
139	0.2382454649
140	0.2376538373
141	0.2372948518
142	0.2364749276
143	0.2358893444
144	0.2349675605
145	0.2339689008
146	0.2335739793
147	0.2331746722
148	0.2326297492
149	0.2316022552
150	0.2313389926
151	0.2311496053
152	0.2302692889
153	0.2300016164
154	0.2296962722
155	0.2291581822
156	0.228320495
157	0.2280365953
158	0.2275838196
159	0.2271520238
160	0.2262373526
161	0.2253866362
162	0.2248379866
163	0.2241616677
164	0.2234326963
165	0.2222110136
166	0.22155106
167	0.2213290185
168	0.220815985
169	0.2204038017
170	0.2194354445
171	0.2189168479
172	0.2186330823
173	0.2184788773
