iter	Passed	Remaining
0	56	56497
1	56	28427
2	57	19057
3	57	14377
4	57	11534
5	58	9658
6	58	8323
7	59	7319
8	59	6538
9	59	5912
10	60	5399
11	60	4976
12	60	4614
13	61	4306
14	61	4040
15	61	3805
16	62	3597
17	62	3412
18	62	3247
19	63	3099
20	63	2959
21	63	2837
22	64	2724
23	64	2623
24	64	2529
25	65	2444
26	65	2364
27	65	2288
28	66	2219
29	66	2153
30	66	2093
31	67	2035
32	67	1981
33	67	1930
34	68	1883
35	68	1839
36	69	1797
37	69	1757
38	69	1719
39	70	1683
40	70	1648
41	70	1615
42	71	1583
43	71	1553
44	71	1524
45	72	1497
46	72	1471
47	72	1445
48	73	1421
49	73	1397
50	73	1375
51	74	1352
52	74	1331
53	74	1310
54	75	1291
55	75	1273
56	75	1255
57	76	1238
58	76	1221
59	76	1203
60	77	1187
61	77	1172
62	77	1156
63	78	1142
64	78	1128
65	78	1115
66	79	1102
67	79	1087
68	79	1075
69	80	1063
70	80	1051
71	80	1039
72	81	1028
73	81	1018
74	81	1007
75	82	997
76	82	987
77	82	977
78	83	968
79	83	959
80	83	949
81	84	941
82	84	932
83	84	924
84	85	916
85	85	908
86	85	900
87	86	892
88	86	885
89	86	877
90	87	871
91	87	864
92	87	857
93	88	851
94	88	844
95	89	838
96	89	832
97	89	825
98	90	819
99	90	812
100	90	806
101	90	800
102	91	794
103	91	789
104	91	783
105	92	777
106	92	772
107	92	767
108	93	762
109	93	757
110	93	752
111	94	747
112	94	742
113	95	738
114	95	733
115	95	729
116	96	724
117	96	720
118	96	716
119	97	712
120	97	708
121	97	704
122	98	700
123	98	696
124	98	692
125	99	688
126	99	684
127	99	681
128	100	677
129	100	673
130	101	670
131	101	666
132	101	664
133	102	661
134	102	657
135	103	654
136	103	650
137	103	648
138	104	645
139	104	642
140	104	639
141	105	635
142	105	632
143	105	629
144	106	626
145	106	624
146	107	621
147	107	618
148	107	615
149	108	613
150	108	610
151	108	607
152	109	605
153	109	602
154	110	600
155	110	597
156	110	594
157	111	592
158	111	589
159	111	587
160	112	584
161	112	582
162	112	579
163	113	577
164	113	574
165	113	572
166	114	569
167	114	567
168	114	565
169	115	562
170	115	560
171	115	558
172	116	556
173	116	554
174	117	551
175	117	549
176	117	547
177	118	545
178	118	543
179	119	542
180	119	541
181	120	539
182	120	538
183	121	537
184	121	535
185	121	532
186	122	530
187	122	530
188	123	528
189	123	526
190	123	524
191	124	522
192	124	520
193	124	518
194	125	516
195	125	516
196	126	514
197	126	513
198	127	511
199	127	509
200	127	507
201	128	505
202	128	503
203	128	502
204	129	500
205	129	498
206	129	496
207	129	494
208	130	494
209	130	492
210	131	490
211	131	489
212	131	487
213	132	485
214	132	484
215	132	482
216	133	480
217	133	479
218	133	477
219	134	475
220	134	474
221	134	472
222	135	470
223	135	469
224	136	470
225	136	468
226	137	467
227	137	465
228	137	464
229	138	462
230	138	461
231	138	459
232	139	458
233	139	457
234	139	455
235	140	454
236	140	452
237	140	451
238	141	449
239	141	448
240	142	448
241	142	447
242	143	445
243	143	444
244	143	442
245	144	441
246	144	440
247	144	439
248	145	437
249	145	436
250	145	435
251	146	433
252	146	432
253	146	431
254	147	429
255	147	428
256	147	427
257	148	426
258	149	426
259	149	426
260	150	425
261	150	425
262	151	424
263	152	424
264	152	423
265	153	422
266	153	421
267	154	421
268	154	420
269	155	419
270	155	418
271	156	417
272	156	416
273	156	415
274	157	414
275	157	413
276	157	412
277	158	411
278	158	410
279	159	409
280	159	408
281	159	406
282	160	405
283	160	404
284	161	403
285	161	402
286	161	401
287	162	400
288	162	399
289	162	398
290	163	397
291	163	396
292	163	395
293	164	394
294	164	393
295	164	392
296	165	391
297	165	390
298	165	389
299	166	387
300	166	387
301	166	385
302	167	385
303	167	384
304	168	383
305	168	382
306	168	381
307	169	380
308	169	378
309	169	377
310	170	376
311	170	376
312	170	375
313	171	374
314	171	373
315	171	371
316	172	370
317	172	370
318	172	369
319	173	368
320	173	367
321	173	366
322	174	365
323	174	364
324	175	363
325	175	362
326	175	361
327	176	360
328	176	359
329	176	358
330	177	357
331	177	356
332	177	355
333	178	354
334	178	354
335	178	353
336	179	352
337	179	351
338	179	350
339	180	349
340	180	348
341	180	347
342	181	346
343	181	345
344	181	345
345	182	344
346	182	343
347	182	342
348	183	341
349	183	341
350	183	340
351	184	339
352	184	338
353	184	337
354	185	336
355	185	335
356	186	335
357	186	334
358	186	333
359	187	332
360	187	331
361	187	330
362	188	330
363	188	329
364	188	328
365	189	327
366	189	327
367	190	326
368	190	325
369	190	324
370	191	323
371	191	323
372	191	322
373	192	321
374	192	320
375	192	320
376	193	319
377	193	318
378	193	317
379	194	316
380	194	316
381	194	315
382	195	314
383	195	313
384	196	313
385	196	312
386	196	311
387	197	310
388	197	309
389	197	309
390	198	308
391	198	307
392	198	306
393	198	306
394	199	305
395	199	304
396	200	303
397	200	303
398	200	302
399	200	301
400	201	300
401	201	300
402	201	299
403	202	298
404	202	297
405	202	296
406	203	296
407	203	295
408	204	294
409	204	294
410	204	293
411	205	292
412	205	291
413	205	291
414	206	290
415	206	289
416	206	288
417	207	288
418	207	287
419	207	286
420	208	286
421	208	285
422	208	284
423	209	284
424	209	283
425	209	282
426	210	281
427	210	281
428	210	280
429	211	279
430	211	279
431	211	278
432	212	277
433	212	277
434	212	276
435	213	275
436	213	275
437	214	274
438	214	273
439	214	273
440	215	272
441	215	271
442	215	271
443	216	270
444	216	269
445	216	269
446	217	268
447	217	267
448	217	267
449	218	266
450	218	265
451	218	265
452	219	264
453	219	263
454	219	263
455	220	262
456	220	261
457	220	261
458	221	260
459	221	260
460	221	259
461	222	258
462	222	258
463	222	257
464	223	256
465	223	256
466	223	255
467	224	255
468	224	254
469	225	253
470	225	253
471	225	252
472	226	251
473	226	251
474	226	250
475	227	249
476	227	249
477	227	248
478	227	247
479	228	247
480	228	246
481	228	246
482	229	245
483	229	244
484	230	244
485	230	243
486	230	243
487	231	242
488	231	241
489	231	241
490	232	240
491	232	240
492	232	239
493	233	238
494	233	238
495	233	237
496	234	237
497	234	236
498	234	235
499	235	235
500	235	234
501	235	234
502	236	233
503	236	232
504	236	232
505	237	231
